source,target,date_min
file10413,file10425,1534-05-21
file10413,file10419,1534-05-21
file10414,file10416,1534-05-22
file10419,file10425,1534-05-30
file10420,file10430,1534-05-30
file10420,file10422,1534-05-30
file10420,file10423,1534-05-30
file10420,file10434,1534-05-30
file10420,file13151,1534-05-30
file10420,file10424,1534-05-30
file10422,file10423,1534-06-04
file10422,file10434,1534-06-04
file10422,file13151,1534-06-04
file10422,file10424,1534-06-04
file10422,file10430,1534-06-04
file10423,file10434,1534-06-04
file10423,file13151,1534-06-04
file10423,file10424,1534-06-04
file10423,file10430,1534-06-04
file10424,file10434,1534-06-05
file10424,file13151,1534-06-05
file10424,file10430,1534-06-05
file10425,file10440,1534-06-06
file10425,file10443,1534-06-06
file10426,file10431,1534-06-06
file10426,file10435,1534-06-06
file10429,file10438,1534-06-13
file10430,file10446,1534-06-15
file10430,file10434,1534-06-15
file10430,file13151,1534-06-05
file10431,file10445,1534-06-15
file10431,file10451,1534-06-15
file10431,file10435,1534-06-15
file10434,file10446,1534-06-27
file10434,file13151,1534-06-05
file10435,file10445,1534-06-28
file10435,file10451,1534-06-28
file1044,file1055,1550-10-07
file10440,file10443,1534-07-03
file10445,file10451,1534-07-07
file10450,file10456,1534-07-11
file10459,file10470,1534-08-15
file10459,file10460,1534-08-15
file10460,file10470,1534-08-15
file10461,file10469,1534-08-19
file10462,file10474,1534-08-21
file10469,file10480,1534-09-06
file10471,file10478,1534-09-10
file10472,file10487,1534-09-11
file10472,file10488,1534-09-11
file10474,file10481,1534-09-14
file10475,file10485,1534-09-15
file10475,file10489,1534-09-15
file10475,file10479,1534-09-15
file10477,file10492,1534-09-17
file10477,file10490,1534-09-17
file10477,file10486,1534-09-17
file10479,file10485,1534-09-27
file10479,file10489,1534-09-27
file10485,file10489,1534-10-04
file10486,file10492,1534-10-04
file10486,file10490,1534-10-04
file10486,file10502,1534-10-04
file10487,file10498,1534-10-05
file10487,file10503,1534-10-05
file10487,file10488,1534-10-05
file10488,file10503,1534-10-06
file10488,file10498,1534-10-06
file1049,file1068,1550-10-14
file1049,file1059,1550-10-14
file1049,file1067,1550-10-14
file1049,file1069,1550-10-14
file10490,file10492,1534-10-10
file10490,file10502,1534-10-10
file10490,file10509,1534-10-10
file10492,file10509,1534-10-14
file10492,file10502,1534-10-14
file10494,file10496,1534-10-18
file10498,file10503,1534-10-22
file10501,file10514,1534-10-28
file10501,file10506,1534-10-28
file10502,file10509,1534-10-28
file10502,file10515,1534-10-28
file10506,file10514,1534-11-01
file10509,file10515,1534-11-09
file1051,file1080,1550-10-16
file1051,file1054,1550-10-16
file10511,file10521,1534-11-16
file10511,file10522,1534-11-16
file10511,file10512,1534-11-16
file10512,file10521,1534-11-17
file10512,file10522,1534-11-17
file10514,file10530,1534-11-22
file10514,file10518,1534-11-22
file10515,file10528,1534-11-23
file10518,file10530,1534-12-15
file1052,file1057,1550-10-16
file1052,file1063,1550-10-16
